id,key,value,type
4849377927,source,Bing,regular
4849377928,source,Bing,regular
4849377929,source,Bing,regular
4849377930,source,Bing,regular
4849377931,source,Bing,regular
4849377932,source,Bing,regular
4849377933,source,Bing,regular
4849377934,source,Bing,regular
4849377935,source,Bing,regular
4849377936,source,Bing,regular
4849377937,source,Bing,regular
4849377938,source,Bing,regular
4849377939,source,Bing,regular
4849377940,source,Bing,regular
4849377941,source,Bing,regular
4849377942,source,Bing,regular
4849377943,source,Bing,regular
4849377944,source,Bing,regular
4849377945,source,Bing,regular
4849377946,source,Bing,regular
4849377953,source,Bing,regular
4849377954,source,Bing,regular
4849377955,source,Bing,regular
4849377956,source,Bing,regular
4849377957,source,Bing,regular
4849377962,source,Bing,regular
4849377963,source,Bing,regular
4849377964,source,Bing,regular
4849377965,source,Bing,regular
4849377966,source,Bing,regular
4849377967,source,Bing,regular
4849377968,source,Bing,regular
4849377969,source,Bing,regular
4849573385,source,Bing,regular
4849573386,source,Bing,regular
4849573387,source,Bing,regular
4849573388,source,Bing,regular
4849573389,source,Bing,regular
4849573390,source,Bing,regular
4849573391,source,Bing,regular
4849573394,source,Bing,regular
4849573395,source,Bing,regular
4849573407,source,Bing,regular
4849573420,source,Bing,regular
4849573521,source,Bing,regular
4849573522,source,Bing,regular
4849573523,source,Bing,regular
4849573524,source,Bing,regular
4849573525,source,Bing,regular
4849573526,source,Bing,regular
4849573527,source,Bing,regular
4849573528,source,Bing,regular
4849573529,source,Bing,regular
4849573530,source,Bing,regular
4849573531,source,Bing,regular
4849573532,source,Bing,regular
4849573533,source,Bing,regular
4849573534,source,Bing,regular
4849573535,source,Bing,regular
4849573536,source,Bing,regular
4849573537,source,Bing,regular
4849573538,source,Bing,regular
4849573539,source,Bing,regular
4849573540,source,Bing,regular
4849573541,source,Bing,regular
4849573542,source,Bing,regular
4849573543,source,Bing,regular
4849573544,source,Bing,regular
4849573545,source,Bing,regular
4849573546,source,Bing,regular
4849573547,source,Bing,regular
4849573548,source,Bing,regular
4849573549,source,Bing,regular
4849573550,source,Bing,regular
4849573551,source,Bing,regular
4849573552,source,Bing,regular
4849573553,source,Bing,regular
4849573554,source,Bing,regular
4849573555,source,Bing,regular
4849573556,source,Bing,regular
4849573557,source,Bing,regular
4849573558,source,Bing,regular
4849573559,source,Bing,regular
4849573560,source,Bing,regular
4849573561,source,Bing,regular
4849573562,source,Bing,regular
4849573563,source,Bing,regular
4849573564,source,Bing,regular
4849573565,source,Bing,regular
4849573566,source,Bing,regular
4849573567,source,Bing,regular
4849573568,source,Bing,regular
4849573569,source,Bing,regular
4849573570,source,Bing,regular
4849573571,source,Bing,regular
4849573572,source,Bing,regular
4849573573,source,Bing,regular
4849573574,source,Bing,regular
4849573575,source,Bing,regular
4849573576,source,Bing,regular
4849573577,source,Bing,regular
4849573578,source,Bing,regular
4849573579,source,Bing,regular
4849573580,source,Bing,regular
4849573581,source,Bing,regular
4849573582,source,Bing,regular
4849573583,source,Bing,regular
4849573584,source,Bing,regular
4849573585,source,Bing,regular
4849573586,source,Bing,regular
4849573587,source,Bing,regular
4849573588,source,Bing,regular
4849573589,source,Bing,regular
4849573590,source,Bing,regular
4849573591,source,Bing,regular
4849573592,source,Bing,regular
4849573593,source,Bing,regular
4849573594,source,Bing,regular
4849573595,source,Bing,regular
4849573596,source,Bing,regular
4849573597,source,Bing,regular
4849573598,source,Bing,regular
4849573599,source,Bing,regular
4849573600,source,Bing,regular
4849573601,source,Bing,regular
4849573602,source,Bing,regular
4849573603,source,Bing,regular
4849683665,source,Bing,regular
4849683666,source,Bing,regular
4849683667,source,Bing,regular
4849683668,source,Bing,regular
4849683669,source,Bing,regular
4849683670,source,Bing,regular
4849683671,source,Bing,regular
4849683672,source,Bing,regular
4849683673,source,Bing,regular
4849683674,source,Bing,regular
4849683675,source,Bing,regular
4849683676,source,Bing,regular
4849683677,source,Bing,regular
4849683678,source,Bing,regular
4849683679,source,Bing,regular
4849683680,source,Bing,regular
4849683701,source,Bing,regular
4849683710,source,Bing,regular
4849683711,source,Bing,regular
4849683712,source,Bing,regular
4849683713,source,Bing,regular
4849683714,source,Bing,regular
4849683715,source,Bing,regular
4849683716,source,Bing,regular
4849683717,source,Bing,regular
4849683718,source,Bing,regular
4849683719,source,Bing,regular
4849683720,source,Bing,regular
4849684121,source,Bing,regular
4849684122,source,Bing,regular
4849684123,source,Bing,regular
4849684124,source,Bing,regular
4849684125,source,Bing,regular
4849684126,source,Bing,regular
4849684127,source,Bing,regular
4849684128,source,Bing,regular
4849684129,source,Bing,regular
4849684130,source,Bing,regular
4849684131,source,Bing,regular
4849684132,source,Bing,regular
4849684133,source,Bing,regular
4849684134,source,Bing,regular
4849684135,source,Bing,regular
4849684136,source,Bing,regular
4849684137,source,Bing,regular
4849684138,source,Bing,regular
4849684139,source,Bing,regular
4849684140,source,Bing,regular
4849684141,source,Bing,regular
4849684142,source,Bing,regular
4849684143,source,Bing,regular
4849684144,source,Bing,regular
4849684145,source,Bing,regular
4849684146,source,Bing,regular
4849684147,source,Bing,regular
4849684148,source,Bing,regular
4849684149,source,Bing,regular
4849684150,source,Bing,regular
4849684151,source,Bing,regular
4849684152,source,Bing,regular
4849684153,source,Bing,regular
4849684154,source,Bing,regular
4849684155,source,Bing,regular
4849684156,source,Bing,regular
4849684157,source,Bing,regular
4849684158,source,Bing,regular
4849684159,source,Bing,regular
4849684167,source,Bing,regular
4849684168,source,Bing,regular
4849684169,source,Bing,regular
4849684179,source,Bing,regular
4849684180,source,Bing,regular
4849684181,source,Bing,regular
4849684182,source,Bing,regular
4849684183,source,Bing,regular
4849684184,source,Bing,regular
4849684185,source,Bing,regular
4849684186,source,Bing,regular
4849684187,source,Bing,regular
4849684188,source,Bing,regular
4849684189,source,Bing,regular
4849684190,source,Bing,regular
4849684191,source,Bing,regular
4849684192,source,Bing,regular
4849684193,source,Bing,regular
4849684194,source,Bing,regular
4849684195,source,Bing,regular
4849684196,source,Bing,regular
4849684197,source,Bing,regular
4849684198,source,Bing,regular
4849684199,source,Bing,regular
4849684200,source,Bing,regular
4849684201,source,Bing,regular
4849684202,source,Bing,regular
4849684203,source,Bing,regular
4849684204,source,Bing,regular
4849684205,source,Bing,regular
4849684206,source,Bing,regular
4849684207,source,Bing,regular
4849684208,source,Bing,regular
4849684209,source,Bing,regular
4849684210,source,Bing,regular
4849684211,source,Bing,regular
4849684212,source,Bing,regular
4849684213,source,Bing,regular
4849684214,source,Bing,regular
4849684218,source,Bing,regular
4849684219,source,Bing,regular
4849684220,source,Bing,regular
4849684422,source,Bing,regular
4849684423,source,Bing,regular
4849684424,source,Bing,regular
4849684425,source,Bing,regular
4849684426,source,Bing,regular
4849684427,source,Bing,regular
4849684428,source,Bing,regular
4849684429,source,Bing,regular
4849684430,source,Bing,regular
4849684431,source,Bing,regular
4849684432,source,Bing,regular
4849684433,source,Bing,regular
4849684434,source,Bing,regular
4849684435,source,Bing,regular
4849684436,source,Bing,regular
4849684437,source,Bing,regular
4849684438,source,Bing,regular
4849684439,source,Bing,regular
4849684440,source,Bing,regular
4849684441,source,Bing,regular
4849726056,source,Bing,regular
4849726057,source,Bing,regular
4849726058,source,Bing,regular
4849726059,source,Bing,regular
4849726060,source,Bing,regular
4849726061,source,Bing,regular
4849726062,source,Bing,regular
4849726063,source,Bing,regular
4849726064,source,Bing,regular
4849726065,source,Bing,regular
4849726066,source,Bing,regular
4849726067,source,Bing,regular
4849726068,source,Bing,regular
4849726069,source,Bing,regular
4849726070,source,Bing,regular
4849726071,source,Bing,regular
4849726072,source,Bing,regular
4849726073,source,Bing,regular
4849726074,source,Bing,regular
4849726075,source,Bing,regular
4849726076,source,Bing,regular
4849726077,source,Bing,regular
4849726078,source,Bing,regular
4849726079,source,Bing,regular
4849726080,source,Bing,regular
4849726081,source,Bing,regular
4849726082,source,Bing,regular
4849726083,source,Bing,regular
4849726084,source,Bing,regular
4849726085,source,Bing,regular
4849726086,source,Bing,regular
4849726087,source,Bing,regular
4849726088,source,Bing,regular
4849726089,source,Bing,regular
4849726112,source,Bing,regular
4849726113,source,Bing,regular
4849726114,source,Bing,regular
4849726115,source,Bing,regular
4849726116,source,Bing,regular
4849726117,source,Bing,regular
4849726118,source,Bing,regular
4849726119,source,Bing,regular
4849726120,source,Bing,regular
4849726421,source,Bing,regular
4849726425,source,Bing,regular
4849726426,source,Bing,regular
4849726428,source,Bing,regular
4849726429,source,Bing,regular
4849726430,source,Bing,regular
4849726441,source,Bing,regular
4849726442,source,Bing,regular
4849726443,source,Bing,regular
4849726444,source,Bing,regular
4849726445,source,Bing,regular
4849726446,source,Bing,regular
4849726447,source,Bing,regular
4849726448,source,Bing,regular
4849726450,source,Bing,regular
4849726451,source,Bing,regular
4849726452,source,Bing,regular
4849726453,source,Bing,regular
4849726454,source,Bing,regular
4849726455,source,Bing,regular
4849726456,source,Bing,regular
4849726457,source,Bing,regular
